サンプルNo,メインキーワード（必須）,サブキーワード（任意）,参考記事URL1（必須）,参考記事URL2,参考記事URL3,ターゲット読者（任意）,目標文字数Min,目標文字数Max,希望の記事構成（任意）,文体（任意）,誘導先リンクCTA（任意）,CTAボタンテキスト（任意）,著者肩書,著者名,著者プロフィール,用途・目的,出力結果例（記事タイトル案）
1,Webデザイン 独学 始め方,初心者向け; 副業; スキルアップ,https://example.com/webdesign-guide,https://example.com/webdesign-beginner,,未経験からWebデザイナーを目指す20代〜30代,4000,6000,問題提起→解決策→具体例→まとめ,polite,https://example.com/course,無料で始める,現役Webデザイナー,田中 太郎,デザイン歴10年・講座受講者300名以上・Webデザインスクール講師,スキルアップ系記事,「【2024年最新】Webデザイン独学の始め方完全ガイド｜初心者が最短で習得する7ステップ」
2,転職 30代 未経験,キャリアチェンジ; 正社員; 求人,https://example.com/tenshoku-30s,https://example.com/career-change,https://example.com/job-guide,30代で未経験職種への転職を検討中の会社員,5000,8000,現状分析→課題→解決策→成功事例→まとめ,casual,https://example.com/agent,無料相談はこちら,人材紹介会社代表,佐藤 花子,キャリアコンサルタント15年・転職支援実績2000名以上・著書3冊,転職・キャリア系,「30代未経験でも転職成功！プロが教える業界別攻略法と成功事例15選」
3,副業 在宅 おすすめ,初心者; 主婦; サラリーマン,https://example.com/fukugyo-matome,https://example.com/zaitaku-work,,副業で月5万円を目指す主婦・サラリーマン,3000,5000,導入→種類紹介→メリット・デメリット→始め方→まとめ,casual,https://example.com/start-guide,今すぐチェック,副業アドバイザー,鈴木 一郎,副業歴5年・月収50万円達成・副業コミュニティ運営,副業・収入アップ系,「【2024年版】在宅副業おすすめ20選｜初心者でも月5万円稼げる仕事を厳選」
4,プログラミング 学習 ロードマップ,未経験; エンジニア転職; 独学,https://example.com/programming-roadmap,https://example.com/coding-beginner,,プログラミング未経験でエンジニア転職を目指す人,6000,10000,全体像→言語選定→学習ステップ→転職準備→まとめ,professional,https://example.com/school,無料カウンセリング予約,現役エンジニア,高橋 健太,エンジニア歴8年・GAFA勤務経験・技術ブログ月間10万PV,IT・テック系,「プログラミング学習ロードマップ2024｜未経験から6ヶ月でエンジニア転職する完全ガイド」
5,ダイエット 食事 メニュー,糖質制限; 健康的; レシピ,https://example.com/diet-meal,https://example.com/healthy-recipe,,健康的に痩せたい30代〜40代女性,4000,6000,目的設定→基本知識→具体的メニュー→注意点→まとめ,polite,https://example.com/meal-plan,プラン詳細を見る,管理栄養士,山田 美咲,管理栄養士資格保有・ダイエットアドバイザー・指導実績1000名以上,健康・美容系,「ダイエット食事メニュー完全版｜管理栄養士が教える1週間の献立と痩せるレシピ30選」
6,投資 初心者 始め方,NISA; 株; 積立,https://example.com/investment-beginner,https://example.com/nisa-guide,https://example.com/stock-basics,投資を始めたい20代〜30代社会人,5000,7000,投資の基本→種類解説→始め方→リスク管理→まとめ,professional,https://example.com/seminar,無料セミナーに参加,ファイナンシャルプランナー,伊藤 誠,ファイナンシャルプランナー1級・投資歴15年・金融メディア監修多数,金融・投資系,「【初心者向け】投資の始め方完全ガイド2024｜NISAから株まで基礎を徹底解説」
7,英語 勉強法 社会人,TOEIC; ビジネス英語; 独学,https://example.com/english-study,https://example.com/toeic-strategy,,TOEICスコアアップを目指す社会人,4000,6000,目標設定→学習計画→具体的方法→継続のコツ→まとめ,casual,https://example.com/app,アプリを無料ダウンロード,英語講師,木村 絵里,TOEIC990点取得・英語講師10年・累計指導者数5000名以上,語学・資格系,「社会人のための英語勉強法｜忙しくてもTOEIC800点を取る最短ルートを伝授」
8,筋トレ メニュー 自宅,初心者; 器具なし; 効果的,https://example.com/home-workout,https://example.com/muscle-training,,自宅で筋トレを始めたい運動初心者,3500,5500,準備→基本種目→週間プログラム→注意点→まとめ,casual,https://example.com/training-guide,プログラムを見る,パーソナルトレーナー,中村 大輔,パーソナルトレーナー歴8年・指導実績500名以上・ボディビル入賞経験,フィットネス系,「自宅筋トレメニュー完全版｜器具なしで効果的に鍛える部位別トレーニング20選」
9,起業 アイデア 2024,独立; スモールビジネス; 低資金,https://example.com/startup-ideas,https://example.com/business-2024,,起業・独立を検討中の30代〜40代ビジネスパーソン,6000,9000,トレンド分析→アイデア紹介→実現ステップ→リスク→まとめ,professional,https://example.com/consulting,無料相談を申し込む,起業コンサルタント,渡辺 隆,起業コンサルタント・自身も3社経営・起業支援実績100社以上,ビジネス・起業系,「2024年起業アイデア30選｜低資金で始められる注目ビジネスと成功の秘訣」
10,子育て 悩み 解決,育児; ストレス; ワンオペ,https://example.com/parenting-tips,https://example.com/childcare-stress,,0歳〜6歳の子供を持つワーキングマザー,3000,5000,共感→原因分析→解決策→実践例→まとめ,polite,https://example.com/community,コミュニティに参加,保育士・育児カウンセラー,小林 あやか,保育士資格保有・3児の母・育児相談室運営・相談実績3000件以上,子育て・ライフスタイル系,「子育ての悩みを解決！現役保育士ママが教えるワンオペ育児のストレス対処法」
